test_donor,seed,metric,slope_per_full_missing_fraction
P1,41,accuracy,-0.028818414735015698
P1,41,weighted_f1,-0.029378931960666387
P1,41,macro_f1,-0.06400726479148251
P1,41,ece,-0.002168016246023174
P1,41,brier,0.04258025437593456
P1,42,accuracy,-0.038195915457914016
P1,42,weighted_f1,-0.03901414493238348
P1,42,macro_f1,-0.07448358385816188
P1,42,ece,0.03804017246370028
P1,42,brier,0.06206426678634276
P1,43,accuracy,-0.0356472795497187
P1,43,weighted_f1,-0.035419526953538026
P1,43,macro_f1,-0.0777543081419861
P1,43,ece,0.0034239325088620005
P1,43,brier,0.05442359007713269
P2,41,accuracy,-0.029185361600782698
P2,41,weighted_f1,-0.027378736927855925
P2,41,macro_f1,-0.07891740269110466
P2,41,ece,0.038887564754935336
P2,41,brier,0.05375566642458843
P2,42,accuracy,-0.02867147241655505
P2,42,weighted_f1,-0.02750252720140755
P2,42,macro_f1,-0.06364611367937226
P2,42,ece,0.0269248395906153
P2,42,brier,0.04920426120118396
P2,43,accuracy,-0.029848101445268737
P2,43,weighted_f1,-0.030895290126147248
P2,43,macro_f1,-0.056243304929569256
P2,43,ece,-0.01036955195802537
P2,43,brier,0.045057028168585145
P3,41,accuracy,-0.030704089441985993
P3,41,weighted_f1,-0.022378127999202007
P3,41,macro_f1,-0.07775653436359312
P3,41,ece,0.034673112885681846
P3,41,brier,0.0495925954565769
P3,42,accuracy,-0.023862010448208335
P3,42,weighted_f1,-0.02184356236432451
P3,42,macro_f1,-0.06445673224398775
P3,42,ece,-0.00849637023480972
P3,42,brier,0.03472506091362093
P3,43,accuracy,-0.03239693208664691
P3,43,weighted_f1,-0.030788204330474078
P3,43,macro_f1,-0.08567513125759679
P3,43,ece,0.0011496291980935417
P3,43,brier,0.04324221483817919
P4,41,accuracy,-0.022106780459261215
P4,41,weighted_f1,-0.023858145086997427
P4,41,macro_f1,-0.06353672789943099
P4,41,ece,-0.007616081284203689
P4,41,brier,0.03132205183913068
P4,42,accuracy,-0.03920421299005278
P4,42,weighted_f1,-0.043057214698629706
P4,42,macro_f1,-0.0714014162205317
P4,42,ece,-0.018388872162140458
P4,42,brier,0.05908228184391804
P4,43,accuracy,-0.023922847478913666
P4,43,weighted_f1,-0.025730336533930566
P4,43,macro_f1,-0.06282225641168503
P4,43,ece,0.016969675196309916
P4,43,brier,0.03982752198126257
P5,41,accuracy,-0.014724613111978556
P5,41,weighted_f1,-0.01433112674052122
P5,41,macro_f1,-0.03447941726709415
P5,41,ece,0.024576588784912694
P5,41,brier,0.027281315770091012
P5,42,accuracy,-0.012641864532440933
P5,42,weighted_f1,-0.013293574893168892
P5,42,macro_f1,-0.04136093112667503
P5,42,ece,0.007779633542673299
P5,42,brier,0.01945984617965976
P5,43,accuracy,-0.017961959226213006
P5,43,weighted_f1,-0.017354933350657804
P5,43,macro_f1,-0.050137667853502495
P5,43,ece,0.00920151649490994
P5,43,brier,0.027251608851479273
P6,41,accuracy,-0.022738710898824288
P6,41,weighted_f1,-0.022781187248856253
P6,41,macro_f1,-0.060031459164438264
P6,41,ece,0.008952459970352775
P6,41,brier,0.03947738830636181
P6,42,accuracy,-0.013722598897959095
P6,42,weighted_f1,-0.01426236878321514
P6,42,macro_f1,-0.031563414898975274
P6,42,ece,-0.002444953553980075
P6,42,brier,0.022322987092704333
P6,43,accuracy,-0.011406101911756622
P6,43,weighted_f1,-0.009933397050169704
P6,43,macro_f1,-0.03625430565121687
P6,43,ece,-0.005993710957781347
P6,43,brier,0.016630646295663735
P7,41,accuracy,-0.02027885069542979
P7,41,weighted_f1,-0.021661387397569922
P7,41,macro_f1,-0.070954908299109
P7,41,ece,0.033432054544793345
P7,41,brier,0.03244233840122461
P7,42,accuracy,-0.022159664602327753
P7,42,weighted_f1,-0.022864121518188785
P7,42,macro_f1,-0.059096125510105214
P7,42,ece,-0.007389381067970685
P7,42,brier,0.03259286011864506
P7,43,accuracy,-0.021407810421500455
P7,43,weighted_f1,-0.021344303954002247
P7,43,macro_f1,-0.08096378416074514
P7,43,ece,0.0194241186689909
P7,43,brier,0.03907416379306375
P8,41,accuracy,-0.04421370499419308
P8,41,weighted_f1,-0.04596518524843221
P8,41,macro_f1,-0.08481187357309718
P8,41,ece,-0.0001677534916242911
P8,41,brier,0.06528981029987342
P8,42,accuracy,-0.03432055749128916
P8,42,weighted_f1,-0.035015828742411784
P8,42,macro_f1,-0.05707842625155832
P8,42,ece,-0.00591286588500882
P8,42,brier,0.05128938068703908
P8,43,accuracy,-0.03293147502903651
P8,43,weighted_f1,-0.034283109026166
P8,43,macro_f1,-0.04957171054843494
P8,43,ece,-0.00131354622075573
P8,43,brier,0.04782492794641633
